סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
388       ,כפר קיש                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,706       ,53        ,189       ,226       ,96        ,56        ,86
389       ,בצרה                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1158      ,76        ,295       ,338       ,206       ,86        ,157
390       ,רגבה                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1133      ,75        ,218       ,371       ,141       ,81        ,247
392       ,קדמה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,43        ,5         ,13        ,15        ,5         ,0         ,5
393       ,גלאון                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,716       ,65        ,171       ,218       ,75        ,49        ,138
394       ,שובל                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,922       ,87        ,193       ,309       ,98        ,76        ,159
395       ,משמר הנגב                ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1256      ,96        ,268       ,365       ,148       ,130       ,249
396       ,נבטים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1095      ,79        ,248       ,410       ,120       ,122       ,116
397       ,חצרים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1117      ,95        ,198       ,371       ,129       ,108       ,216
398       ,שרשרת                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,398       ,37        ,99        ,129       ,43        ,36        ,54
399       ,בארי                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,1196      ,101       ,243       ,411       ,131       ,102       ,208
400       ,אבן שמואל                ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,1857      ,211       ,683       ,616       ,176       ,65        ,106
402       ,ניר יצחק                 ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,731       ,47        ,92        ,300       ,61        ,95        ,136
403       ,אורים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,584       ,22        ,65        ,221       ,53        ,65        ,158
405       ,נווה אילן                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1037      ,62        ,259       ,329       ,133       ,79        ,175
406       ,חצור-אשדוד               ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,963       ,92        ,182       ,296       ,98        ,73        ,222
407       ,דברת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,587       ,76        ,149       ,187       ,67        ,36        ,72
408       ,נאות מרדכי               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,761       ,75        ,146       ,265       ,73        ,59        ,143
409       ,יחיעם                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,863       ,52        ,240       ,248       ,128       ,37        ,158
412       ,קרית שלמה                ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,10        ,0         ,0         ,0         ,0         ,1         ,9
413       ,צאלים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,525       ,39        ,88        ,174       ,71        ,52        ,101
414       ,קלחים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,636       ,67        ,197       ,208       ,79        ,35        ,50
415       ,שוקדה                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,646       ,122       ,238       ,209       ,20        ,23        ,34
416       ,מעין ברוך                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,655       ,54        ,121       ,231       ,82        ,48        ,119
417       ,יקום                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,791       ,73        ,158       ,263       ,115       ,44        ,138
418       ,בני ציון                 ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1209      ,71        ,283       ,400       ,168       ,122       ,165
419       ,סעד                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,984       ,97        ,271       ,340       ,80        ,45        ,151
421       ,משאבי שדה                ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,611       ,49        ,85        ,202       ,64        ,71        ,140
422       ,חרב לאת                  ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,814       ,69        ,169       ,272       ,113       ,68        ,123
423       ,העוגן                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,904       ,70        ,173       ,270       ,109       ,73        ,209
424       ,גבים                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,653       ,45        ,145       ,238       ,94        ,58        ,73
425       ,משמרת                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,977       ,50        ,269       ,273       ,205       ,86        ,94
426       ,עין כרמל                 ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,811       ,46        ,220       ,247       ,144       ,55        ,99
427       ,כפר גלים                 ,31        ,חיפה                     ,31        ,חיפה                     ,15        ,חוף הכרמל                ,158       ,8         ,40        ,78        ,20        ,4         ,8
428       ,ברור חיל                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,1055      ,66        ,206       ,357       ,133       ,101       ,192
429       ,אלוני אבא                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1047      ,40        ,309       ,298       ,223       ,78        ,99
430       ,בית לחם הגלילית          ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,863       ,62        ,175       ,281       ,117       ,97        ,131
431       ,דלתון                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,913       ,76        ,196       ,362       ,103       ,91        ,85
432       ,שמרת                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,648       ,63        ,136       ,222       ,53        ,47        ,127
433       ,נחשולים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,782       ,64        ,179       ,257       ,106       ,62        ,114
434       ,החותרים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,888       ,94        ,190       ,305       ,96        ,57        ,146
435       ,נצר סרני                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1006      ,135       ,230       ,315       ,101       ,51        ,174
436       ,עין דור                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1372      ,113       ,288       ,415       ,168       ,127       ,261
437       ,רשפים                    ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,1121      ,136       ,330       ,400       ,91        ,62        ,102
439       ,שלוחות                   ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,492       ,61        ,85        ,155       ,25        ,58        ,108
440       ,יסודות                   ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,770       ,132       ,302       ,231       ,28        ,14        ,63
442       ,גדעונה                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,495       ,57        ,128       ,184       ,49        ,24        ,53
443       ,כפר הנשיא                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,924       ,60        ,133       ,287       ,108       ,115       ,221
444       ,רגבים                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,648       ,56        ,150       ,182       ,72        ,56        ,132
445       ,רמות מנשה                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1398      ,95        ,401       ,395       ,247       ,98        ,162
446       ,אודים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1186      ,101       ,242       ,418       ,169       ,104       ,152
447       ,נורדיה                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,2195      ,154       ,317       ,649       ,190       ,214       ,671
448       ,בני עטרות                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,895       ,60        ,223       ,289       ,130       ,77        ,116
449       ,נחלים                    ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,1454      ,172       ,378       ,472       ,122       ,89        ,221
450       ,בארות יצחק               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,587       ,57        ,95        ,201       ,51        ,49        ,134
452       ,יזרעאל                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,791       ,37        ,149       ,217       ,114       ,54        ,220
453       ,יפתח                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,756       ,58        ,145       ,286       ,77        ,63        ,127
454       ,סער                      ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,970       ,73        ,248       ,309       ,143       ,93        ,104
456       ,שורש                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1305      ,66        ,155       ,277       ,107       ,118       ,582
457       ,גזית                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,890       ,74        ,154       ,303       ,101       ,78        ,180
460       ,רמת רזיאל                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,705       ,54        ,167       ,222       ,97        ,57        ,108
462       ,טל שחר                   ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1244      ,111       ,319       ,419       ,169       ,84        ,142
463       ,געתון                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,800       ,44        ,195       ,268       ,86        ,62        ,145
464       ,הראל                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,323       ,16        ,64        ,87        ,42        ,46        ,68
465       ,צובה                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,815       ,49        ,135       ,314       ,88        ,101       ,128
466       ,בית דגן                  ,43        ,רמלה                     ,43        ,רמלה                     ,0         ,                         ,7044      ,462       ,1433      ,2512      ,967       ,749       ,921
469       ,קרית עקרון               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,11402     ,986       ,2133      ,4169      ,1239      ,1132      ,1743
472       ,אבו גוש                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,0         ,                         ,8420      ,839       ,2021      ,3418      ,866       ,694       ,582
473       ,אבו סנאן                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13867     ,1203      ,2986      ,5996      ,1579      ,1029      ,1074
475       ,דחי                      ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,752       ,68        ,158       ,314       ,97        ,55        ,60
478       ,אכסאל                    ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,15294     ,1531      ,3884      ,6499      ,1591      ,990       ,799
480       ,בית ג'ן                  ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12460     ,976       ,2579      ,5562      ,1405      ,975       ,963
481       ,מגאר                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,23622     ,2066      ,5175      ,10675     ,2531      ,1684      ,1491
482       ,בועיינה-נוג'ידאת         ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,10425     ,1029      ,2669      ,4658      ,1033      ,562       ,474
483       ,בענה                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,8568      ,723       ,2081      ,3726      ,982       ,557       ,499
485       ,ג'ולס                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6597      ,516       ,1287      ,2916      ,816       ,569       ,493
487       ,ג'ש )גוש חלב(            ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3344      ,222       ,621       ,1304      ,449       ,324       ,424
489       ,דבוריה                   ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,10845     ,1029      ,2571      ,4407      ,1292      ,816       ,730
490       ,דייר אל-אסד              ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12973     ,1185      ,3349      ,5485      ,1388      ,824       ,742
492       ,דייר חנא                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,10864     ,885       ,2511      ,4642      ,1251      ,844       ,731
493       ,דייר ראפאת               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,100       ,10        ,30        ,39        ,13        ,0         ,8
494       ,דאלית אל-כרמל            ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,17913     ,1371      ,3649      ,7338      ,2363      ,1602      ,1590
496       ,חורפיש                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6735      ,566       ,1481      ,2996      ,751       ,475       ,466
497       ,טייבה )בעמק(             ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1955      ,224       ,475       ,864       ,184       ,108       ,100
498       ,טורעאן                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,14867     ,1394      ,3812      ,6200      ,1576      ,968       ,917
499       ,יפיע                     ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,19701     ,1647      ,4682      ,8270      ,2289      ,1473      ,1340
502       ,ירכא                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,16234     ,1395      ,3883      ,7128      ,1748      ,1119      ,961
504       ,כאבול                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12568     ,1150      ,3126      ,5313      ,1460      ,851       ,668
505       ,כאוכב אבו אל-היג'א       ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4008      ,340       ,991       ,1625      ,499       ,268       ,285
507       ,כפר יאסיף                ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,11169     ,881       ,2210      ,4677      ,1315      ,1023      ,1063
508       ,כפר כמא                  ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,3532      ,245       ,646       ,1474      ,379       ,309       ,479
509       ,כפר כנא                  ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,23549     ,2389      ,6036      ,9868      ,2413      ,1487      ,1356
510       ,כפר מנדא                 ,24        ,עכו                      ,25        ,נוף הגליל                ,0         ,                         ,20917     ,2293      ,5565      ,9185      ,1892      ,1107      ,875
511       ,עילוט                    ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,8624      ,966       ,2257      ,3649      ,908       ,476       ,368
512       ,כפר מצר                  ,25        ,נצרת                     ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,2820      ,265       ,710       ,1206      ,310       ,182       ,147
514       ,עין ראפה                 ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1287      ,126       ,359       ,519       ,130       ,68        ,85
516       ,מג'ד אל-כרום             ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,15783     ,1216      ,3968      ,6777      ,1834      ,1059      ,929
517       ,מזרעה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4105      ,396       ,732       ,1777      ,436       ,424       ,340
518       ,מעיליא                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3372      ,209       ,597       ,1294      ,480       ,313       ,479
520       ,משהד                     ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,8953      ,907       ,2348      ,3874      ,812       ,533       ,479
521       ,עין נקובא                ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,3783      ,474       ,1114      ,1595      ,305       ,183       ,112
522       ,נחף                      ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13807     ,1442      ,3630      ,5948      ,1399      ,761       ,627
523       ,ניין                     ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,1992      ,168       ,450       ,848       ,233       ,149       ,144
524       ,נאעורה                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,2454      ,269       ,670       ,1017      ,240       ,135       ,123
525       ,סאג'ור                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,4442      ,379       ,970       ,2098      ,499       ,253       ,243
526       ,סולם                     ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,3067      ,274       ,728       ,1334      ,309       ,207       ,215
527       ,שזור                     ,24        ,עכו                      ,21        ,צפת                      ,2         ,מרום הגליל               ,349       ,33        ,39        ,123       ,35        ,54        ,65
528       ,עוזייר                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,65        ,אל-בטוף                  ,3389      ,393       ,907       ,1455      ,319       ,166       ,149
529       ,אעבלין                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13592     ,1114      ,3179      ,5684      ,1624      ,1054      ,937
530       ,עיילבון                  ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,5923      ,440       ,1243      ,2468      ,661       ,500       ,611
531       ,עראבה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,27066     ,2603      ,7228      ,11365     ,2868      ,1599      ,1403
532       ,עין מאהל                 ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,13895     ,1332      ,3292      ,5962      ,1562      ,984       ,763
534       ,עספיא                    ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,12834     ,936       ,2567      ,5254      ,1638      ,1122      ,1317
535       ,פסוטה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3524      ,258       ,606       ,1443      ,468       ,329       ,420
536       ,פקיעין )בוקייעה(         ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6130      ,475       ,1182      ,2623      ,710       ,556       ,584
537       ,פוריידיס                 ,32        ,חדרה                     ,32        ,חדרה                     ,0         ,                         ,13633     ,1352      ,3379      ,5733      ,1461      ,954       ,754
538       ,שעב                      ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,7531      ,716       ,1806      ,3238      ,901       ,504       ,366
539       ,רומאנה                   ,25        ,נצרת                     ,25        ,נוף הגליל                ,65        ,אל-בטוף                  ,1251      ,140       ,340       ,565       ,108       ,63        ,35
540       ,ריחאניה                  ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,1292      ,108       ,240       ,538       ,152       ,111       ,143
541       ,ג'סר א-זרקא              ,32        ,חדרה                     ,32        ,חדרה                     ,0         ,                         ,15378     ,1785      ,4429      ,6474      ,1415      ,766       ,509
542       ,ריינה                    ,25        ,נצרת                     ,25        ,נוף הגליל                ,0         ,                         ,17045     ,1486      ,3933      ,7228      ,1924      ,1363      ,1111
543       ,ראמה                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,8764      ,643       ,1673      ,3570      ,1027      ,785       ,1066
546       ,עין אל-אסד               ,24        ,עכו                      ,21        ,צפת                      ,2         ,מרום הגליל               ,932       ,61        ,221       ,387       ,115       ,75        ,73
547       ,טמרה )יזרעאל(            ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1651      ,155       ,427       ,720       ,165       ,93        ,91
549       ,גנות הדר                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1012      ,45        ,249       ,329       ,160       ,109       ,120
553       ,ניר בנים                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,810       ,46        ,173       ,272       ,114       ,98        ,107
555       ,שדמה                     ,44        ,רחובות                   ,44        ,רחובות                   ,32        ,גדרות                    ,514       ,27        ,105       ,176       ,73        ,54        ,79
559       ,בוסתן הגליל              ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1091      ,98        ,265       ,407       ,117       ,81        ,123
562       ,בית אלעזרי               ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,1604      ,126       ,423       ,510       ,221       ,110       ,214
563       ,משמר דוד                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1184      ,141       ,440       ,350       ,150       ,44        ,59
564       ,רבדים                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,948       ,58        ,253       ,280       ,140       ,87        ,130
565       ,אזור                     ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,13716     ,1189      ,2471      ,4805      ,1587      ,1244      ,2420
566       ,גבעת שמש                 ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,12        ,1         ,0         ,5         ,0         ,0         ,6
567       ,צרעה                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1207      ,74        ,175       ,350       ,188       ,101       ,319
570       ,מעונה                    ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,965       ,69        ,229       ,336       ,133       ,88        ,110
571       ,בית גמליאל               ,44        ,רחובות                   ,44        ,רחובות                   ,29        ,חבל יבנה                 ,1143      ,92        ,288       ,383       ,140       ,84        ,156
572       ,בית העמק                 ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,718       ,61        ,121       ,231       ,74        ,66        ,165
573       ,מבקיעים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,511       ,60        ,79        ,213       ,51        ,59        ,49
574       ,גשר הזיו                 ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1750      ,79        ,449       ,556       ,332       ,149       ,185
575       ,יסעור                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,908       ,72        ,273       ,273       ,119       ,68        ,103
576       ,כברי                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1202      ,75        ,259       ,374       ,175       ,99        ,220
577       ,יד בנימין                ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,4432      ,537       ,1699      ,1474      ,484       ,130       ,108
578       ,סאסא                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,527       ,43        ,64        ,164       ,68        ,47        ,141
579       ,כפר ראש הנקרה            ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1456      ,74        ,345       ,437       ,257       ,141       ,202
580       ,כרם מהר"ל                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,1008      ,79        ,254       ,312       ,157       ,76        ,130
582       ,כפר הנגיד                ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,1052      ,82        ,187       ,381       ,137       ,106       ,159
584       ,זיקים                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,1050      ,89        ,205       ,359       ,142       ,101       ,154
585       ,לביא                     ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,728       ,63        ,171       ,277       ,64        ,44        ,109
586       ,מגידו                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,966       ,35        ,269       ,271       ,185       ,81        ,125
587       ,סביון                    ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,5313      ,215       ,1020      ,1475      ,790       ,666       ,1147
588       ,בני ראם                  ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,1431      ,143       ,380       ,507       ,185       ,92        ,124
589       ,בצת                      ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,428       ,32        ,85        ,155       ,44        ,38        ,74
590       ,נווה אור                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,484       ,39        ,84        ,168       ,49        ,56        ,88
591       ,עשרת                     ,44        ,רחובות                   ,44        ,רחובות                   ,32        ,גדרות                    ,1144      ,39        ,215       ,348       ,176       ,156       ,210
592       ,בני דרום                 ,44        ,רחובות                   ,44        ,רחובות                   ,29        ,חבל יבנה                 ,925       ,111       ,320       ,281       ,97        ,38        ,78
593       ,ערוגות                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1015      ,83        ,257       ,317       ,154       ,76        ,128
594       ,צפריה                    ,43        ,רמלה                     ,43        ,רמלה                     ,40        ,שדות דן                  ,1004      ,149       ,316       ,329       ,92        ,17        ,101
595       ,לוחמי הגיטאות            ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,849       ,102       ,168       ,324       ,68        ,57        ,130
596       ,מלכיה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,556       ,25        ,104       ,175       ,81        ,54        ,117
597       ,פלמחים                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,855       ,85        ,137       ,314       ,123       ,82        ,114
598       ,בית קמה                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1171      ,74        ,363       ,353       ,228       ,56        ,97
599       ,פרוד                     ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,676       ,76        ,153       ,215       ,64        ,65        ,103
602       ,נירים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,530       ,37        ,98        ,175       ,53        ,56        ,111
603       ,אלקוש                    ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,289       ,11        ,34        ,105       ,42        ,38        ,59
604       ,בית עריף                 ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,1053      ,82        ,222       ,336       ,158       ,130       ,125
605       ,כפר שמאי                 ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,612       ,79        ,197       ,194       ,42        ,50        ,50
606       ,מזור                     ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,1193      ,77        ,289       ,382       ,180       ,104       ,161
607       ,מירון                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,796       ,91        ,213       ,271       ,73        ,46        ,102
609       ,כפר חושן                 ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,908       ,81        ,232       ,325       ,97        ,90        ,83
610       ,סתריה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1134      ,81        ,241       ,375       ,151       ,124       ,162
612       ,צרופה                    ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,1043      ,85        ,231       ,390       ,131       ,96        ,110
613       ,ציפורי                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1000      ,85        ,230       ,341       ,142       ,86        ,116
614       ,שומרה                    ,24        ,עכו                      ,24        ,עכו                      ,52        ,מעלה יוסף                ,413       ,35        ,72        ,157       ,46        ,48        ,55
615       ,קדרון                    ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,1707      ,87        ,440       ,529       ,277       ,141       ,233
616       ,רינתיה                   ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,1056      ,100       ,275       ,323       ,138       ,75        ,145
617       ,ברקאי                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,722       ,33        ,148       ,231       ,100       ,74        ,136
618       ,חדיד                     ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,957       ,101       ,234       ,303       ,142       ,66        ,111
619       ,בית גוברין               ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,450       ,22        ,132       ,128       ,77        ,44        ,47
620       ,משואות יצחק              ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,709       ,71        ,178       ,229       ,54        ,49        ,128
